test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,uhash,nr,task_id,learner_id,resampling_id,classif.auc,classif.acc,algorithm
2019,all,41408,9,1,41408,17,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.976990871891722,0.976360637713029,cv_glmnet
2020,all,41408,9,1,41408,18,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96664411219033,0.976618705035971,cv_glmnet
2019,all,41408,10,1,41408,19,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.963162312454097,0.97306212204508,cv_glmnet
2020,all,41408,10,1,41408,20,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.973043762959728,0.974820143884892,cv_glmnet
2019,other,25027,1,1,25027,21,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.973746525275405,0.971444261394838,cv_glmnet
2020,other,16381,1,1,16381,22,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.973132030225656,0.97411933860532,cv_glmnet
2019,other,25027,2,1,25027,23,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.970050447853392,0.978034047226798,cv_glmnet
2020,other,16381,2,1,16381,24,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.957022047719721,0.974469615246314,cv_glmnet
2019,other,25027,3,1,25027,25,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.9628333161742,0.971444261394838,cv_glmnet
2020,other,16381,3,1,16381,26,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.963448677568279,0.975188781014024,cv_glmnet
2019,other,25027,4,1,25027,27,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96989601564913,0.975837451949478,cv_glmnet
2020,other,16381,4,1,16381,28,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.970671355222852,0.975548363897878,cv_glmnet
2019,other,25027,5,1,25027,29,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965546175229075,0.973640856672158,cv_glmnet
2020,other,16381,5,1,16381,30,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96812141347025,0.972312117943186,cv_glmnet
2019,other,25027,6,1,25027,31,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.986111397096674,0.978034047226798,cv_glmnet
2020,other,16381,6,1,16381,32,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.964223152263019,0.972671700827041,cv_glmnet
2019,other,25027,7,1,25027,33,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.978040079739797,0.975810885101704,cv_glmnet
