job.id,submitted,started,done,error,mem.used,batch.id,log.file,job.hash,job.name,repl,time.queued,time.running,problem,algorithm,tags,learner_id
40,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.260Z,2026-02-24T17:05:15.432700Z,,,7302694_40,job7db3566daef9fa85bcbe5d031b6e961c.log_40,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,40,1.35949993133545,218.172699928284,ec3770ae7f439181,run_learner,,classif.cv_glmnet
41,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.259700Z,2026-02-24T17:05:03.165400Z,,,7302694_41,job7db3566daef9fa85bcbe5d031b6e961c.log_41,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,41,1.35920000076294,205.905699968338,ec3770ae7f439181,run_learner,,classif.cv_glmnet
42,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:41.712700Z,2026-02-24T17:05:19.058700Z,,,7302694_42,job7db3566daef9fa85bcbe5d031b6e961c.log_42,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,42,5.81219983100891,217.34600019455,ec3770ae7f439181,run_learner,,classif.cv_glmnet
43,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.259900Z,2026-02-24T17:05:14.726500Z,,,7302694_43,job7db3566daef9fa85bcbe5d031b6e961c.log_43,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,43,1.35940003395081,217.466599941254,ec3770ae7f439181,run_learner,,classif.cv_glmnet
44,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:39.319200Z,2026-02-24T17:05:12.723900Z,,,7302694_44,job7db3566daef9fa85bcbe5d031b6e961c.log_44,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,44,3.4186999797821,213.404700040817,ec3770ae7f439181,run_learner,,classif.cv_glmnet
45,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.265800Z,2026-02-24T17:05:24.863400Z,,,7302694_45,job7db3566daef9fa85bcbe5d031b6e961c.log_45,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,45,1.36529994010925,227.597599983215,ec3770ae7f439181,run_learner,,classif.cv_glmnet
46,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:41.506400Z,2026-02-24T17:05:15.124600Z,,,7302694_46,job7db3566daef9fa85bcbe5d031b6e961c.log_46,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,46,5.6059000492096,213.618199825287,ec3770ae7f439181,run_learner,,classif.cv_glmnet
47,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:39.183600Z,2026-02-24T17:05:17.546700Z,,,7302694_47,job7db3566daef9fa85bcbe5d031b6e961c.log_47,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,47,3.28309988975525,218.36310005188,ec3770ae7f439181,run_learner,,classif.cv_glmnet
48,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.259300Z,2026-02-24T17:04:55.689600Z,,,7302694_48,job7db3566daef9fa85bcbe5d031b6e961c.log_48,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,48,1.35879993438721,198.43029999733,ec3770ae7f439181,run_learner,,classif.cv_glmnet
49,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:41.608300Z,2026-02-24T17:05:22.251400Z,,,7302694_49,job7db3566daef9fa85bcbe5d031b6e961c.log_49,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,49,5.70779991149902,220.64310002327,ec3770ae7f439181,run_learner,,classif.cv_glmnet
50,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.263600Z,2026-02-24T17:05:16.237Z,,,7302694_50,job7db3566daef9fa85bcbe5d031b6e961c.log_50,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,50,1.36310005187988,218.973399877548,ec3770ae7f439181,run_learner,,classif.cv_glmnet
51,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:41.656600Z,2026-02-24T17:05:25.188300Z,,,7302694_51,job7db3566daef9fa85bcbe5d031b6e961c.log_51,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,51,5.75609993934631,223.531699895859,ec3770ae7f439181,run_learner,,classif.cv_glmnet
52,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:39.326700Z,2026-02-24T17:05:19.546400Z,,,7302694_52,job7db3566daef9fa85bcbe5d031b6e961c.log_52,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,52,3.4261999130249,220.219700098038,ec3770ae7f439181,run_learner,,classif.cv_glmnet
53,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:39.320700Z,2026-02-24T17:05:04.382500Z,,,7302694_53,job7db3566daef9fa85bcbe5d031b6e961c.log_53,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,53,3.42019987106323,205.061800003052,ec3770ae7f439181,run_learner,,classif.cv_glmnet
54,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:43.904100Z,2026-02-24T17:05:10.794Z,,,7302694_54,job7db3566daef9fa85bcbe5d031b6e961c.log_54,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,54,8.00359988212585,206.889899969101,ec3770ae7f439181,run_learner,,classif.cv_glmnet
55,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.269900Z,2026-02-24T17:05:03.962500Z,,,7302694_55,job7db3566daef9fa85bcbe5d031b6e961c.log_55,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,55,1.36940002441406,206.692600011826,ec3770ae7f439181,run_learner,,classif.cv_glmnet
56,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.259900Z,2026-02-24T17:05:01.566800Z,,,7302694_56,job7db3566daef9fa85bcbe5d031b6e961c.log_56,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,56,1.35940003395081,204.306900024414,ec3770ae7f439181,run_learner,,classif.cv_glmnet
57,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.262Z,2026-02-24T17:05:01.918400Z,,,7302694_57,job7db3566daef9fa85bcbe5d031b6e961c.log_57,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,57,1.36150002479553,204.656399965286,ec3770ae7f439181,run_learner,,classif.cv_glmnet
58,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.275900Z,2026-02-24T17:04:59.727600Z,,,7302694_58,job7db3566daef9fa85bcbe5d031b6e961c.log_58,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,58,1.37539982795715,202.451700210571,ec3770ae7f439181,run_learner,,classif.cv_glmnet
59,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:39.321200Z,2026-02-24T17:05:15.762700Z,,,7302694_59,job7db3566daef9fa85bcbe5d031b6e961c.log_59,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,59,3.42069983482361,216.44150018692,ec3770ae7f439181,run_learner,,classif.cv_glmnet
60,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.260Z,2026-02-24T17:05:15.251500Z,,,7302694_60,job7db3566daef9fa85bcbe5d031b6e961c.log_60,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,60,1.35949993133545,217.991499900818,ec3770ae7f439181,run_learner,,classif.cv_glmnet
